cust_id,app_id,application_date,age,gender,city_tier,residence_type,income_monthly,employment_type,loan_amount_requested,channel,device_score,bureau_score,bureau_vintage_months,total_tradelines,active_tradelines,total_sanctioned
CUST100000,APP200000,11/05/24,49,F,3,Family,40288,Salaried,75000,Online,0.273,686,113,5,4,182368
CUST100001,APP200001,28/03/23,35,M,3,Rented,24508,Self-employed,50000,Online,0.587,675,103,10,8,359109
CUST100002,APP200002,20/01/23,28,M,2,Owned,51879,Self-employed,25000,Online,0.167,,,0,0,0
CUST100003,APP200003,29/07/24,41,M,1,Owned,121442,Salaried,110000,Online,0.266,722,49,4,3,762025
CUST100004,APP200004,02/08/23,39,M,3,Family,11052,Salaried,185000,Online,0.397,649,41,3,2,54540
CUST100005,APP200005,10/07/23,43,M,2,Rented,118870,Salaried,155000,Branch,0.351,738,103,6,3,1070666
CUST100006,APP200006,23/06/23,31,M,1,Owned,38947,Self-employed,115000,Online,0.344,713,68,8,7,269453
CUST100007,APP200007,19/04/23,31,M,2,Owned,67265,Salaried,55000,Partner,0.314,690,46,4,3,284399
CUST100008,APP200008,26/07/24,44,F,1,Owned,48291,Salaried,50000,Online,0.2,690,89,3,3,244014
CUST100009,APP200009,21/03/23,56,M,2,Rented,35769,Salaried,175000,Partner,0.051,711,107,3,2,72536
CUST100010,APP200010,09/06/24,44,M,1,Family,67710,Salaried,110000,Online,0.408,678,95,5,4,236084
CUST100011,APP200011,29/07/24,23,M,1,Owned,38263,Salaried,110000,Online,0.241,785,8,8,7,343495
CUST100012,APP200012,23/11/24,42,M,3,Rented,44909,Salaried,185000,Branch,0.101,733,87,2,1,99898
CUST100013,APP200013,28/02/24,22,M,2,Owned,16729,Salaried,135000,Partner,0.347,,,0,0,0
CUST100014,APP200014,09/03/23,44,M,2,Family,49492,Self-employed,5000,Online,0.147,719,59,4,3,436171
CUST100015,APP200015,03/04/24,50,M,2,Owned,66777,Self-employed,25000,Branch,0.255,768,96,2,2,171692
CUST100016,APP200016,24/11/23,22,M,3,Rented,51394,Salaried,55000,Referral,0.123,670,82,4,4,140333
CUST100017,APP200017,25/01/23,41,M,2,Owned,12005,Self-employed,165000,Online,0.523,673,25,4,4,20462
CUST100018,APP200018,24/01/23,53,M,2,Family,50984,Salaried,80000,Online,0.233,724,113,4,3,284680
CUST100019,APP200019,14/03/23,32,F,3,Owned,91349,Salaried,200000,Partner,0.371,720,61,5,3,624922
CUST100020,APP200020,19/06/23,42,M,1,Owned,29311,Self-employed,150000,Online,0.101,664,46,3,2,61895
CUST100021,APP200021,30/06/23,45,M,3,Owned,6000,Salaried,140000,Online,0.258,829,10,9,6,50801
CUST100022,APP200022,28/01/24,47,M,1,Rented,20256,Self-employed,145000,Online,0.243,686,30,5,5,178326
CUST100023,APP200023,12/04/24,48,M,2,Owned,45082,Self-employed,80000,Branch,0.2,788,82,2,1,44689
CUST100024,APP200024,21/01/23,36,M,1,Owned,53118,Salaried,5000,Partner,0.117,719,31,2,1,133674
CUST100025,APP200025,11/03/24,35,M,2,Rented,15469,Salaried,40000,Branch,0.396,674,82,3,2,29178
CUST100026,APP200026,04/06/23,23,F,2,Rented,58651,Salaried,20000,Online,0.189,,,0,0,0
CUST100027,APP200027,10/07/24,57,M,3,Owned,60869,Self-employed,180000,Online,0.552,,,0,0,0
