cust_id,tradeline_id,credit_type,is_active,sanction_amount,current_balance,emi_amount,dpd_history,written_off_flag,last_payment_date,opened_date,max_dpd,dpd_months
CUST100000,TL1000000,PL,0,71600,28842,4807,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-11-22,2016-07-03,0,0
CUST100000,TL1000001,CC,1,31141,6282,261,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-07-10,2023-01-14,0,0
CUST100000,TL1000002,CC,1,33021,2384,264,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-05-04,2016-04-30,0,0
CUST100000,TL1000003,CD,1,12758,776,129,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-06-15,2020-04-25,0,0
CUST100000,TL1000004,CC,1,33848,6753,750,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-04-21,2015-11-24,0,0
CUST100001,TL1000005,PL,1,46424,9502,1583,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-12-02,2020-11-04,0,0
CUST100001,TL1000006,PL,1,46937,29924,2493,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-02-20,2015-03-09,0,0
CUST100001,TL1000007,CD,1,5840,2432,101,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-12-31,2022-09-22,0,0
CUST100001,TL1000008,PL,1,52660,19616,544,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-02-03,2022-12-25,0,0
CUST100001,TL1000009,CC,1,15601,5064,422,"0,0,0,0,0,0,30,0,0,0,0,0",0,2024-03-21,2020-08-21,30,1
CUST100001,TL1000010,CD,0,7729,3270,272,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-11-24,2021-01-01,0,0
CUST100001,TL1000011,PL,1,39484,14238,593,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-09-11,2020-01-05,0,0
CUST100001,TL1000012,PL,1,33436,8134,338,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-08-13,2017-11-06,0,0
CUST100001,TL1000013,PL,1,54620,24380,2031,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-01-28,2020-03-04,0,0
CUST100001,TL1000014,PL,0,56378,6460,269,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-07-18,2019-06-07,0,0
CUST100003,TL1000015,PL,1,228660,124205,13800,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-02-17,2023-01-19,0,0
CUST100003,TL1000016,CC,1,91875,8070,896,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-03-25,2017-11-16,0,0
CUST100003,TL1000017,PL,1,212057,120417,5017,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-03-20,2015-11-17,0,0
CUST100003,TL1000018,PL,0,229433,52852,17617,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-05-24,2019-12-18,0,0
CUST100004,TL1000019,CC,1,12241,5466,227,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-09-20,2015-06-19,0,0
CUST100004,TL1000020,PL,0,32840,10289,1714,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-08-11,2023-04-01,0,0
CUST100004,TL1000021,CC,1,9459,5347,222,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-03-06,2017-02-27,0,0
CUST100005,TL1000022,CC,0,100965,56080,9346,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-01-28,2016-04-22,0,0
CUST100005,TL1000023,PL,1,226991,43590,1210,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-10-23,2019-09-23,0,0
CUST100005,TL1000024,PL,0,218295,55209,6134,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-07-15,2017-04-03,0,0
CUST100005,TL1000025,PL,1,210574,35082,2923,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-04-23,2019-10-12,0,0
CUST100005,TL1000026,PL,1,219313,102062,2835,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-08-02,2019-05-16,0,0
CUST100005,TL1000027,CC,0,94528,21842,7280,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-01-12,2016-11-24,0,0
CUST100006,TL1000028,CC,1,32019,7119,2373,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-04-14,2017-12-21,0,0
CUST100006,TL1000029,PL,0,63980,6656,739,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-12-07,2017-07-28,0,0
CUST100006,TL1000030,CD,1,11716,6823,568,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-05-26,2022-08-07,0,0
CUST100006,TL1000031,CC,1,32904,5126,569,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-10-15,2017-12-25,0,0
CUST100006,TL1000032,CC,1,33241,13564,1507,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-07-22,2019-01-07,0,0
CUST100006,TL1000033,PL,1,73203,21284,3547,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-01-12,2018-01-28,0,0
CUST100006,TL1000034,CD,1,11866,2316,193,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-09-12,2023-12-22,0,0
CUST100006,TL1000035,CD,1,10524,4787,797,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-10-31,2015-07-25,0,0
CUST100007,TL1000036,PL,1,123859,33683,5613,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-09-24,2016-06-08,0,0
CUST100007,TL1000037,CD,0,21073,8932,372,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-04-23,2017-08-15,0,0
CUST100007,TL1000038,PL,1,120643,10911,1212,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-10-12,2023-06-09,0,0
CUST100007,TL1000039,CD,1,18824,11553,962,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-08-07,2022-01-09,0,0
CUST100008,TL1000040,PL,1,73876,17525,730,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-08-21,2021-07-08,0,0
CUST100008,TL1000041,PL,1,92634,27468,4578,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-07-04,2022-06-28,0,0
CUST100008,TL1000042,PL,1,77504,11936,331,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-07-17,2017-11-05,0,0
CUST100009,TL1000043,CC,1,25916,7775,863,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-06-13,2020-11-14,0,0
CUST100009,TL1000044,CC,0,23015,11826,492,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-02-12,2019-07-01,0,0
CUST100009,TL1000045,CC,1,23605,14457,1606,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-08-09,2016-12-21,0,0
CUST100010,TL1000046,CC,1,53784,7774,647,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-02-10,2017-11-07,0,0
CUST100010,TL1000047,CD,1,20890,2524,841,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-12-27,2021-10-13,0,0
CUST100010,TL1000048,PL,0,120095,25642,1068,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-01-05,2020-02-16,0,0
CUST100010,TL1000049,CD,1,21921,10884,1209,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-01-05,2018-12-22,0,0
CUST100010,TL1000050,CD,1,19394,2426,202,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-10-22,2021-08-20,0,0
CUST100011,TL1000051,PL,1,66737,9655,402,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-01-04,2019-06-20,0,0
CUST100011,TL1000052,CD,1,9954,7356,2452,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-04-23,2022-05-25,0,0
CUST100011,TL1000053,PL,1,80166,24973,1040,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-01-10,2019-11-30,0,0
CUST100011,TL1000054,PL,1,72917,50962,16987,"0,0,0,0,0,0,0,0,0,0,0,0",0,2024-12-21,2022-08-20,0,0
CUST100011,TL1000055,PL,0,64784,27142,9047,"0,0,0,0,0,0,0,0,0,0,0,0",0,2023-10-24,2020-05-15,0,0
